,id,question,context,answer_start,text,context_id
78745,57343b404776f41900661ab1,What name is given to the part of Richmond located to the south of the James?,"The portion of the city south of the James River is known as the Southside. Neighborhoods in the city's Southside area range from affluent and middle class suburban neighborhoods Westover Hills, Forest Hill, Southampton, Stratford Hills, Oxford, Huguenot Hills, Hobby Hill, and Woodland Heights to the impoverished Manchester and Blackwell areas, the Hillside Court housing projects, and the ailing Jefferson Davis Highway commercial corridor. Other Southside neighborhoods include Fawnbrook, Broad Rock, Cherry Gardens, Cullenwood, and Beaufont Hills. Much of Southside developed a suburban character as part of Chesterfield County before being annexed by Richmond, most notably in 1970.",65,Southside,17003
78746,57343b404776f41900661ab2,"Along with the affluent, what is the socioeconomic class of the inhabitants of the Southside?","The portion of the city south of the James River is known as the Southside. Neighborhoods in the city's Southside area range from affluent and middle class suburban neighborhoods Westover Hills, Forest Hill, Southampton, Stratford Hills, Oxford, Huguenot Hills, Hobby Hill, and Woodland Heights to the impoverished Manchester and Blackwell areas, the Hillside Court housing projects, and the ailing Jefferson Davis Highway commercial corridor. Other Southside neighborhoods include Fawnbrook, Broad Rock, Cherry Gardens, Cullenwood, and Beaufont Hills. Much of Southside developed a suburban character as part of Chesterfield County before being annexed by Richmond, most notably in 1970.",143,middle class,17003
78747,57343b404776f41900661ab3,What notable public housing projects are present in the Southside?,"The portion of the city south of the James River is known as the Southside. Neighborhoods in the city's Southside area range from affluent and middle class suburban neighborhoods Westover Hills, Forest Hill, Southampton, Stratford Hills, Oxford, Huguenot Hills, Hobby Hill, and Woodland Heights to the impoverished Manchester and Blackwell areas, the Hillside Court housing projects, and the ailing Jefferson Davis Highway commercial corridor. Other Southside neighborhoods include Fawnbrook, Broad Rock, Cherry Gardens, Cullenwood, and Beaufont Hills. Much of Southside developed a suburban character as part of Chesterfield County before being annexed by Richmond, most notably in 1970.",351,Hillside Court,17003
78748,57343b404776f41900661ab4,"Prior to joining Richmond, what county was a significant portion of Southside part of?","The portion of the city south of the James River is known as the Southside. Neighborhoods in the city's Southside area range from affluent and middle class suburban neighborhoods Westover Hills, Forest Hill, Southampton, Stratford Hills, Oxford, Huguenot Hills, Hobby Hill, and Woodland Heights to the impoverished Manchester and Blackwell areas, the Hillside Court housing projects, and the ailing Jefferson Davis Highway commercial corridor. Other Southside neighborhoods include Fawnbrook, Broad Rock, Cherry Gardens, Cullenwood, and Beaufont Hills. Much of Southside developed a suburban character as part of Chesterfield County before being annexed by Richmond, most notably in 1970.",613,Chesterfield,17003
78749,57343b404776f41900661ab5,What is the economic status of the Manchester part of Richmond?,"The portion of the city south of the James River is known as the Southside. Neighborhoods in the city's Southside area range from affluent and middle class suburban neighborhoods Westover Hills, Forest Hill, Southampton, Stratford Hills, Oxford, Huguenot Hills, Hobby Hill, and Woodland Heights to the impoverished Manchester and Blackwell areas, the Hillside Court housing projects, and the ailing Jefferson Davis Highway commercial corridor. Other Southside neighborhoods include Fawnbrook, Broad Rock, Cherry Gardens, Cullenwood, and Beaufont Hills. Much of Southside developed a suburban character as part of Chesterfield County before being annexed by Richmond, most notably in 1970.",302,impoverished,17003
78750,57343cffd058e614000b6b5e,What is Richmond's Köppen climate classification?,"Richmond has a humid subtropical climate (Köppen Cfa), with hot and humid summers and generally cool winters. The mountains to the west act as a partial barrier to outbreaks of cold, continental air in winter; Arctic air is delayed long enough to be modified, then further warmed as it subsides in its approach to Richmond. The open waters of the Chesapeake Bay and Atlantic Ocean contribute to the humid summers and mild winters. The coldest weather normally occurs from late December to early February, and the January daily mean temperature is 37.9 °F (3.3 °C), with an average of 6.0 days with highs at or below the freezing mark. Downtown areas straddle the border between USDA Hardiness zones 7B and 8A, and temperatures seldom lower to 0 °F (−18 °C), with the most recent subzero (°F) reading occurring on January 28, 2000, when the temperature reached −1 °F (−18 °C). The July daily mean temperature is 79.3 °F (26.3 °C), and high temperatures reach or exceed 90 °F (32 °C) approximately 43 days out of the year; while 100 °F (38 °C) temperatures are not uncommon, they do not occur every year. Extremes in temperature have ranged from −12 °F (−24 °C) on January 19, 1940 up to 107 °F (42 °C) on August 6, 1918.[a]",49,Cfa,17004
78751,57343cffd058e614000b6b5f,How could one characterize the winters in Richmond?,"Richmond has a humid subtropical climate (Köppen Cfa), with hot and humid summers and generally cool winters. The mountains to the west act as a partial barrier to outbreaks of cold, continental air in winter; Arctic air is delayed long enough to be modified, then further warmed as it subsides in its approach to Richmond. The open waters of the Chesapeake Bay and Atlantic Ocean contribute to the humid summers and mild winters. The coldest weather normally occurs from late December to early February, and the January daily mean temperature is 37.9 °F (3.3 °C), with an average of 6.0 days with highs at or below the freezing mark. Downtown areas straddle the border between USDA Hardiness zones 7B and 8A, and temperatures seldom lower to 0 °F (−18 °C), with the most recent subzero (°F) reading occurring on January 28, 2000, when the temperature reached −1 °F (−18 °C). The July daily mean temperature is 79.3 °F (26.3 °C), and high temperatures reach or exceed 90 °F (32 °C) approximately 43 days out of the year; while 100 °F (38 °C) temperatures are not uncommon, they do not occur every year. Extremes in temperature have ranged from −12 °F (−24 °C) on January 19, 1940 up to 107 °F (42 °C) on August 6, 1918.[a]",86,generally cool,17004
78752,57343cffd058e614000b6b60,What geographic feature keeps some cold inland air from reaching Richmond?,"Richmond has a humid subtropical climate (Köppen Cfa), with hot and humid summers and generally cool winters. The mountains to the west act as a partial barrier to outbreaks of cold, continental air in winter; Arctic air is delayed long enough to be modified, then further warmed as it subsides in its approach to Richmond. The open waters of the Chesapeake Bay and Atlantic Ocean contribute to the humid summers and mild winters. The coldest weather normally occurs from late December to early February, and the January daily mean temperature is 37.9 °F (3.3 °C), with an average of 6.0 days with highs at or below the freezing mark. Downtown areas straddle the border between USDA Hardiness zones 7B and 8A, and temperatures seldom lower to 0 °F (−18 °C), with the most recent subzero (°F) reading occurring on January 28, 2000, when the temperature reached −1 °F (−18 °C). The July daily mean temperature is 79.3 °F (26.3 °C), and high temperatures reach or exceed 90 °F (32 °C) approximately 43 days out of the year; while 100 °F (38 °C) temperatures are not uncommon, they do not occur every year. Extremes in temperature have ranged from −12 °F (−24 °C) on January 19, 1940 up to 107 °F (42 °C) on August 6, 1918.[a]",114,mountains,17004
78753,57343cffd058e614000b6b61,In what month of the year does Richmond's chilliest weather typically end?,"Richmond has a humid subtropical climate (Köppen Cfa), with hot and humid summers and generally cool winters. The mountains to the west act as a partial barrier to outbreaks of cold, continental air in winter; Arctic air is delayed long enough to be modified, then further warmed as it subsides in its approach to Richmond. The open waters of the Chesapeake Bay and Atlantic Ocean contribute to the humid summers and mild winters. The coldest weather normally occurs from late December to early February, and the January daily mean temperature is 37.9 °F (3.3 °C), with an average of 6.0 days with highs at or below the freezing mark. Downtown areas straddle the border between USDA Hardiness zones 7B and 8A, and temperatures seldom lower to 0 °F (−18 °C), with the most recent subzero (°F) reading occurring on January 28, 2000, when the temperature reached −1 °F (−18 °C). The July daily mean temperature is 79.3 °F (26.3 °C), and high temperatures reach or exceed 90 °F (32 °C) approximately 43 days out of the year; while 100 °F (38 °C) temperatures are not uncommon, they do not occur every year. Extremes in temperature have ranged from −12 °F (−24 °C) on January 19, 1940 up to 107 °F (42 °C) on August 6, 1918.[a]",495,February,17004
78754,57343cffd058e614000b6b62,About how many days a year does the temperature in Richmond go above 32 degrees Celsius?,"Richmond has a humid subtropical climate (Köppen Cfa), with hot and humid summers and generally cool winters. The mountains to the west act as a partial barrier to outbreaks of cold, continental air in winter; Arctic air is delayed long enough to be modified, then further warmed as it subsides in its approach to Richmond. The open waters of the Chesapeake Bay and Atlantic Ocean contribute to the humid summers and mild winters. The coldest weather normally occurs from late December to early February, and the January daily mean temperature is 37.9 °F (3.3 °C), with an average of 6.0 days with highs at or below the freezing mark. Downtown areas straddle the border between USDA Hardiness zones 7B and 8A, and temperatures seldom lower to 0 °F (−18 °C), with the most recent subzero (°F) reading occurring on January 28, 2000, when the temperature reached −1 °F (−18 °C). The July daily mean temperature is 79.3 °F (26.3 °C), and high temperatures reach or exceed 90 °F (32 °C) approximately 43 days out of the year; while 100 °F (38 °C) temperatures are not uncommon, they do not occur every year. Extremes in temperature have ranged from −12 °F (−24 °C) on January 19, 1940 up to 107 °F (42 °C) on August 6, 1918.[a]",996,43,17004
78755,57343d7e4776f41900661ad9,What season in Richmond is most likely to see periods of dryness?,"Precipitation is rather uniformly distributed throughout the year. However, dry periods lasting several weeks do occur, especially in autumn when long periods of pleasant, mild weather are most common. There is considerable variability in total monthly amounts from year to year so that no one month can be depended upon to be normal. Snow has been recorded during seven of the twelve months. Falls of 3 inches (7.6 cm) or more within 24 hours occur an average once per year. Annual snowfall, however, is usually light, averaging 10.5 inches (27 cm) per season. Snow typically remains on the ground only one or two days at a time, but remained for 16 days in 2010 (January 30 to February 14). Ice storms (freezing rain or glaze) are not uncommon, but they are seldom severe enough to do any considerable damage.",134,autumn,17005
78756,57343d7e4776f41900661ada,How many times does Richmond receive 7.6 centimeters or more of snow in a 24 hour period annually?,"Precipitation is rather uniformly distributed throughout the year. However, dry periods lasting several weeks do occur, especially in autumn when long periods of pleasant, mild weather are most common. There is considerable variability in total monthly amounts from year to year so that no one month can be depended upon to be normal. Snow has been recorded during seven of the twelve months. Falls of 3 inches (7.6 cm) or more within 24 hours occur an average once per year. Annual snowfall, however, is usually light, averaging 10.5 inches (27 cm) per season. Snow typically remains on the ground only one or two days at a time, but remained for 16 days in 2010 (January 30 to February 14). Ice storms (freezing rain or glaze) are not uncommon, but they are seldom severe enough to do any considerable damage.",461,once,17005
78757,57343d7e4776f41900661adb,About how many centimeters of snow does Richmond experience in the fall?,"Precipitation is rather uniformly distributed throughout the year. However, dry periods lasting several weeks do occur, especially in autumn when long periods of pleasant, mild weather are most common. There is considerable variability in total monthly amounts from year to year so that no one month can be depended upon to be normal. Snow has been recorded during seven of the twelve months. Falls of 3 inches (7.6 cm) or more within 24 hours occur an average once per year. Annual snowfall, however, is usually light, averaging 10.5 inches (27 cm) per season. Snow typically remains on the ground only one or two days at a time, but remained for 16 days in 2010 (January 30 to February 14). Ice storms (freezing rain or glaze) are not uncommon, but they are seldom severe enough to do any considerable damage.",543,27,17005
78758,57343d7e4776f41900661adc,During what span of 2010 did snowfall remain for a significant amount of time on the ground in Richmond?,"Precipitation is rather uniformly distributed throughout the year. However, dry periods lasting several weeks do occur, especially in autumn when long periods of pleasant, mild weather are most common. There is considerable variability in total monthly amounts from year to year so that no one month can be depended upon to be normal. Snow has been recorded during seven of the twelve months. Falls of 3 inches (7.6 cm) or more within 24 hours occur an average once per year. Annual snowfall, however, is usually light, averaging 10.5 inches (27 cm) per season. Snow typically remains on the ground only one or two days at a time, but remained for 16 days in 2010 (January 30 to February 14). Ice storms (freezing rain or glaze) are not uncommon, but they are seldom severe enough to do any considerable damage.",665,January 30 to February 14,17005
78759,57343d7e4776f41900661add,What types of ice storms sometimes hit Richmond?,"Precipitation is rather uniformly distributed throughout the year. However, dry periods lasting several weeks do occur, especially in autumn when long periods of pleasant, mild weather are most common. There is considerable variability in total monthly amounts from year to year so that no one month can be depended upon to be normal. Snow has been recorded during seven of the twelve months. Falls of 3 inches (7.6 cm) or more within 24 hours occur an average once per year. Annual snowfall, however, is usually light, averaging 10.5 inches (27 cm) per season. Snow typically remains on the ground only one or two days at a time, but remained for 16 days in 2010 (January 30 to February 14). Ice storms (freezing rain or glaze) are not uncommon, but they are seldom severe enough to do any considerable damage.",705,freezing rain or glaze,17005
78760,57343dd54776f41900661ae3,What is the most likely month for the James to flood Richmond?,"The James River reaches tidewater at Richmond where flooding may occur in every month of the year, most frequently in March and least in July. Hurricanes and tropical storms have been responsible for most of the flooding during the summer and early fall months. Hurricanes passing near Richmond have produced record rainfalls. In 1955, three hurricanes brought record rainfall to Richmond within a six-week period. The most noteworthy of these were Hurricane Connie and Hurricane Diane that brought heavy rains five days apart. And in 2004, the downtown area suffered extensive flood damage after the remnants of Hurricane Gaston dumped up to 12 inches (300 mm) of rainfall.",118,March,17006
78761,57343dd54776f41900661ae4,What month sees the lowest likelihood of the James flooding?,"The James River reaches tidewater at Richmond where flooding may occur in every month of the year, most frequently in March and least in July. Hurricanes and tropical storms have been responsible for most of the flooding during the summer and early fall months. Hurricanes passing near Richmond have produced record rainfalls. In 1955, three hurricanes brought record rainfall to Richmond within a six-week period. The most noteworthy of these were Hurricane Connie and Hurricane Diane that brought heavy rains five days apart. And in 2004, the downtown area suffered extensive flood damage after the remnants of Hurricane Gaston dumped up to 12 inches (300 mm) of rainfall.",137,July,17006
78762,57343dd54776f41900661ae5,"In 1955, Richmond was hit with three hurricanes in how many weeks?","The James River reaches tidewater at Richmond where flooding may occur in every month of the year, most frequently in March and least in July. Hurricanes and tropical storms have been responsible for most of the flooding during the summer and early fall months. Hurricanes passing near Richmond have produced record rainfalls. In 1955, three hurricanes brought record rainfall to Richmond within a six-week period. The most noteworthy of these were Hurricane Connie and Hurricane Diane that brought heavy rains five days apart. And in 2004, the downtown area suffered extensive flood damage after the remnants of Hurricane Gaston dumped up to 12 inches (300 mm) of rainfall.",398,six,17006
78763,57343dd54776f41900661ae6,"In 1955, what two hurricanes occurred within a week of one another?","The James River reaches tidewater at Richmond where flooding may occur in every month of the year, most frequently in March and least in July. Hurricanes and tropical storms have been responsible for most of the flooding during the summer and early fall months. Hurricanes passing near Richmond have produced record rainfalls. In 1955, three hurricanes brought record rainfall to Richmond within a six-week period. The most noteworthy of these were Hurricane Connie and Hurricane Diane that brought heavy rains five days apart. And in 2004, the downtown area suffered extensive flood damage after the remnants of Hurricane Gaston dumped up to 12 inches (300 mm) of rainfall.",449,Hurricane Connie and Hurricane Diane,17006
78764,57343dd54776f41900661ae7,What hurricane hit Richmond in 2004?,"The James River reaches tidewater at Richmond where flooding may occur in every month of the year, most frequently in March and least in July. Hurricanes and tropical storms have been responsible for most of the flooding during the summer and early fall months. Hurricanes passing near Richmond have produced record rainfalls. In 1955, three hurricanes brought record rainfall to Richmond within a six-week period. The most noteworthy of these were Hurricane Connie and Hurricane Diane that brought heavy rains five days apart. And in 2004, the downtown area suffered extensive flood damage after the remnants of Hurricane Gaston dumped up to 12 inches (300 mm) of rainfall.",623,Gaston,17006
78765,57343e3a4776f41900661aed,"In 2000, how many families lived in Richmond?","As of the census of 2000, there were 197,790 people, 84,549 households, and 43,627 families residing in the city. The population density was 3,292.6 people per square mile (1,271.3/km²). There were 92,282 housing units at an average density of 1,536.2 per square mile (593.1/km²). The racial makeup of the city was 38.3% White, 57.2% African American, 0.2% Native American, 1.3% Asian, 0.1% Pacific Islander, 1.5% from other races, and 1.5% from two or more races. Hispanic or Latino of any race were 2.6% of the population.",76,"43,627",17007
78766,57343e3a4776f41900661aee,"As of 2000, how many people lived in Richmond per square kilometer?","As of the census of 2000, there were 197,790 people, 84,549 households, and 43,627 families residing in the city. The population density was 3,292.6 people per square mile (1,271.3/km²). There were 92,282 housing units at an average density of 1,536.2 per square mile (593.1/km²). The racial makeup of the city was 38.3% White, 57.2% African American, 0.2% Native American, 1.3% Asian, 0.1% Pacific Islander, 1.5% from other races, and 1.5% from two or more races. Hispanic or Latino of any race were 2.6% of the population.",173,"1,271.3",17007
78767,57343e3a4776f41900661aef,What percentage of the Richmond population of 2000 was Pacific Islander?,"As of the census of 2000, there were 197,790 people, 84,549 households, and 43,627 families residing in the city. The population density was 3,292.6 people per square mile (1,271.3/km²). There were 92,282 housing units at an average density of 1,536.2 per square mile (593.1/km²). The racial makeup of the city was 38.3% White, 57.2% African American, 0.2% Native American, 1.3% Asian, 0.1% Pacific Islander, 1.5% from other races, and 1.5% from two or more races. Hispanic or Latino of any race were 2.6% of the population.",386,0.1,17007
78768,57343e3a4776f41900661af0,What was the largest racial group in Richmond as of 2000?,"As of the census of 2000, there were 197,790 people, 84,549 households, and 43,627 families residing in the city. The population density was 3,292.6 people per square mile (1,271.3/km²). There were 92,282 housing units at an average density of 1,536.2 per square mile (593.1/km²). The racial makeup of the city was 38.3% White, 57.2% African American, 0.2% Native American, 1.3% Asian, 0.1% Pacific Islander, 1.5% from other races, and 1.5% from two or more races. Hispanic or Latino of any race were 2.6% of the population.",334,African American,17007
78769,57343e3a4776f41900661af1,"In 2000, what percentage of Richmond residents were multiracial?","As of the census of 2000, there were 197,790 people, 84,549 households, and 43,627 families residing in the city. The population density was 3,292.6 people per square mile (1,271.3/km²). There were 92,282 housing units at an average density of 1,536.2 per square mile (593.1/km²). The racial makeup of the city was 38.3% White, 57.2% African American, 0.2% Native American, 1.3% Asian, 0.1% Pacific Islander, 1.5% from other races, and 1.5% from two or more races. Hispanic or Latino of any race were 2.6% of the population.",436,1.5,17007
78770,57343f8dd058e614000b6b7c,What crime notably increased in Richmond over the course of the 1980s?,"During the late 1980s and early 1990s, Richmond experienced a spike in overall crime, in particular, the city's murder rate. The city had 93 murders for the year of 1985, with a murder rate of 41.9 killings committed per 100,000 residents. Over the next decade, the city saw a major increase in total homicides. In 1990 there were 114 murders, for a murder rate of 56.1 killings per 100,000 residents. There were 120 murders in 1995, resulting in a murder rate of 59.1 killings per 100,000 residents, one of the highest in the United States.",112,murder,17008
78771,57343f8dd058e614000b6b7d,"In 1985, how many people were murdered in Richmond?","During the late 1980s and early 1990s, Richmond experienced a spike in overall crime, in particular, the city's murder rate. The city had 93 murders for the year of 1985, with a murder rate of 41.9 killings committed per 100,000 residents. Over the next decade, the city saw a major increase in total homicides. In 1990 there were 114 murders, for a murder rate of 56.1 killings per 100,000 residents. There were 120 murders in 1995, resulting in a murder rate of 59.1 killings per 100,000 residents, one of the highest in the United States.",138,93,17008
78772,57343f8dd058e614000b6b7e,"How many people per 100,000 were murdered in Richmond in 1990?","During the late 1980s and early 1990s, Richmond experienced a spike in overall crime, in particular, the city's murder rate. The city had 93 murders for the year of 1985, with a murder rate of 41.9 killings committed per 100,000 residents. Over the next decade, the city saw a major increase in total homicides. In 1990 there were 114 murders, for a murder rate of 56.1 killings per 100,000 residents. There were 120 murders in 1995, resulting in a murder rate of 59.1 killings per 100,000 residents, one of the highest in the United States.",365,56.1,17008
78773,57343f8dd058e614000b6b7f,How many murders occurred in Richmond in 1995?,"During the late 1980s and early 1990s, Richmond experienced a spike in overall crime, in particular, the city's murder rate. The city had 93 murders for the year of 1985, with a murder rate of 41.9 killings committed per 100,000 residents. Over the next decade, the city saw a major increase in total homicides. In 1990 there were 114 murders, for a murder rate of 56.1 killings per 100,000 residents. There were 120 murders in 1995, resulting in a murder rate of 59.1 killings per 100,000 residents, one of the highest in the United States.",413,120,17008
78774,57344025d058e614000b6b8e,What is the oldest Presbyterian church in Richmond?,"Richmond has several historic churches. Because of its early English colonial history from the early 17th century to 1776, Richmond has a number of prominent Anglican/Episcopal churches including Monumental Church, St. Paul's Episcopal Church and St. John's Episcopal Church. Methodists and Baptists made up another section of early churches, and First Baptist Church of Richmond was the first of these, established in 1780. In the Reformed church tradition, the first Presbyterian Church in the City of Richmond was First Presbyterian Church, organized on June 18, 1812. On February 5, 1845, Second Presbyterian Church of Richmond was founded, which was a historic church where Stonewall Jackson attended and was the first Gothic building and the first gas-lit church to be built in Richmond. St. Peter's Church was dedicated and became the first Catholic church in Richmond on May 25, 1834. The city is also home to the historic Cathedral of the Sacred Heart which is the motherchurch for the Roman Catholic Diocese of Richmond.",517,First Presbyterian Church,17009
78775,57344025d058e614000b6b8f,Who was a notable congregant at Second Presbyterian Church?,"Richmond has several historic churches. Because of its early English colonial history from the early 17th century to 1776, Richmond has a number of prominent Anglican/Episcopal churches including Monumental Church, St. Paul's Episcopal Church and St. John's Episcopal Church. Methodists and Baptists made up another section of early churches, and First Baptist Church of Richmond was the first of these, established in 1780. In the Reformed church tradition, the first Presbyterian Church in the City of Richmond was First Presbyterian Church, organized on June 18, 1812. On February 5, 1845, Second Presbyterian Church of Richmond was founded, which was a historic church where Stonewall Jackson attended and was the first Gothic building and the first gas-lit church to be built in Richmond. St. Peter's Church was dedicated and became the first Catholic church in Richmond on May 25, 1834. The city is also home to the historic Cathedral of the Sacred Heart which is the motherchurch for the Roman Catholic Diocese of Richmond.",679,Stonewall Jackson,17009
